,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
3940,64,12397,Изготовитель полуфабрикатов из мяса птицы,3 - 4
3941,65,13982,Машинист перопухообрабатывающих машин,4 - 5
3942,66,14427,Мездрильщик шкурок кроликов,3 - 4
3943,67,14429,Меланжист,3 - 4
3944,68,15143,Обвальщик тушек птицы,4
3945,69,15303,Обработчик кроликов,2 - 4
3946,70,15335,Обработчик птицы,2 - 5
3947,71,15667,Оператор линии по обработке перопухового сырья,3 - 4
3948,72,17180,Приготовитель кулинарных изделий из мяса птицы и кроликов,"2, 4"
3949,73,17266,Приемщик перопухового сырья,4
3950,74,17288,Приемщик-сортировщик живой птицы и кроликов,"3, 5"
3951,75,17300,Приемщик яиц,4
3952,76,18697,Сортировщик тушек птицы и кроликов,"3, 5"
3953,77,18702,Сортировщик шкурок кроликов,5
3954,78,18724,Составитель перопуховой смеси,4
3955,79,18967,Сушильщик перопухового сырья,4
3956,80,18996,Сушильщик шкурок кроликов,4
3957,81,10125,Аппаратчик восстановления молока,3 - 4
3958,82,10369,Аппаратчик нанесения полимерных и парафиновых покрытий на сыры,2 - 3
3959,83,10482,Аппаратчик охлаждения молочных продуктов,4
3960,84,10777,Аппаратчик производства жидкого заменителя цельного молока,4
3961,85,10779,Аппаратчик производства заквасок,4
3962,86,10786,Аппаратчик производства кисломолочных и детских молочных продуктов,3 - 4
3963,87,10814,Аппаратчик производства молочного сахара,4
3964,88,10832,Аппаратчик производства плавленого сыра,3 - 4
3965,89,10857,Аппаратчик производства сухих молочных продуктов,3 - 5
3966,90,10863,Аппаратчик производства топленого масла,"2, 4"
3967,91,11286,Брынзодел,3
3968,92,11287,Брынзодел-мастер,4
3969,93,11414,Вафельщик,2 - 3
3970,94,11680,Глазировщик мороженого и сырков,2
3971,95,12143,Закальщик мороженого,3
3972,96,12329,Изготовитель казеина,3 - 4
3973,96.1,,Изготовитель мороженого,3 - 4
3974,97,12431,Изготовитель сметаны,3 - 4
3975,98,12450,Изготовитель сычужного порошка и пищевого пепсина,4
3976,99,12454,Изготовитель творога,3 - 5
3977,100,13125,Коптильщик колбасного сыра,2
3978,101,13466,Маслодел,2 - 4
3979,102,13467,Маслодел-мастер,5 - 6
3980,103,13475,Мастер производства молочного сахара,5
3981,104,13477,Мастер производства сухого обезжиренного молока и заменителя цельного молока,5 - 6
3982,104.1,,Мастер производства цельномолочной и кисломолочной продукции,4 - 6
3983,105,13602,Машинист вакуум-упаковочной машины,4
3984,106,14527,Мойщик сыра,2 - 3
3985,107,15466,Оператор автомата по розливу молочной продукции в пакеты и пленку,4
3986,108,15491,Оператор автоматической линии производства молочных продуктов,5
3987,109,15531,Оператор в производстве заквасок,5
3988,110,15533,Оператор в производстве кисломолочных и детских молочных продуктов,5
3989,111,15535,Оператор в производстве раствора казеинатов и казецитов,4
3990,112,15680,Оператор линии производства мороженого,3 - 5
3991,113,15683,Оператор линии розлива молока и молочной продукции в бутылки,4
3992,114,15715,Оператор молокохранилища,4
3993,115,15998,Оператор расфасовочно-упаковочного автомата,3 - 5
3994,116,17114,Прессовщик сыра,3 - 4
3995,116.1,,Приемщик молочной продукции,3 - 4
3996,117,19067,Сыродел,2 - 4
3997,118,19068,Сыродел-мастер,5 - 6
3998,119,19070,Сыродел-мастер по созреванию сыров,5 - 6
3999,120,19072,Сыродел по созреванию сыров,4
4000,121,19074,Сыросол,3 - 4
4001,122,19435,Формовщик сыра,2 - 3
4002,123,19489,Фризерщик,3 - 5
4003,1,10581,Аппаратчик получения пата,2 - 4
4004,1.1,,Аппаратчик обработки рыбьего жира,4
4005,2,12380,Изготовитель орудий лова,1 - 5
4006,3,13233,Кулинар изделий из рыбы и морепродуктов,1 - 5
4007,4,13458,Маривод,2 - 5
4008,5,13838,Машинист машин и механизмов внутренних водоемов,3 - 5
4009,6,14164,Машинист рыбопромысловых машин и механизмов,3 - 4
4010,7,15313,Обработчик морского зверя,2 - 6
4011,8,15341,Обработчик рыбы и морепродуктов,1 - 6
4012,9,15639,Оператор коптильной установки,4 - 6
4013,10,16010,Оператор рыбокоптильной механизированной линии,5
4014,11,16025,Оператор скороморозильных аппаратов,5
4015,12,16281,Отбельщик агарового студня,4
4016,13,17164,Приготовитель водорослевого порошка и крупки,3
4017,14,17268,Приемщик плавсредств,3 - 4
4018,15,18095,Рыбак прибрежного лова,1 - 5
4019,16,18097,Рыбовод,1 - 7
4020,1,10329,Аппаратчик коньячного производства,3 - 5
4021,2,10889,Аппаратчик производства шампанского,4 - 5
4022,3,11792,Дегоржер,5
4023,4,15261,Обработчик винного сырья,1 - 4
4024,4.1,,Обработчик виноматериалов и вина,2 - 5
4025,4.2,,Обработчик коньячных спиртов и коньяков,2 - 5
4026,5,15321,Обработчик отходов виноделия,2 - 4
4027,6,15353,Обработчик сусла и соков,1 - 5
4028,7,17233,Приготовитель игристых вин,2 - 4
4029,8,18019,Ремюер,5
4030,9,10503,Аппаратчик перегонки и ректификации спирта,4 - 6
4031,10,11818,Денатураторщик спирта,3
4032,11,17186,Приготовитель мелассного сусла,3
4033,12,17190,Приготовитель морса,2
4034,13,17198,Приготовитель питательных растворов,2
4035,14,10160,Аппаратчик выращивания дрожжей,3
4036,15,12702,Каптажист,3
4037,15.1,,Обработчик воды,2 - 4
4038,16,17225,Приготовитель сухих пивных дрожжей,2 - 3
4039,17,10903,Аппаратчик процесса брожения,3 - 6
4040,18,13239,Купажист,4 - 5
4041,18.1,,Оператор линии фильтрации в пивоваренном производстве,4 - 6
4042,19,18625,Солодовщик,3 - 6
4043,20,10521,Аппаратчик по выработке уксуса,4 - 5
4044,21,10627,Аппаратчик по обработке и купажированию уксуса,4
4045,22,10706,Аппаратчик приготовления питательных сред,3 - 4
4046,23,11930,Дрожжевод,2 - 4
4047,23.1,,Заквасчик,4 - 5
4048,24,13154,Кочегар производственных печей,2 - 5
4049,25,13847,Машинист машин по чистке и смазке листов,3
4050,26,13912,Машинист низальных машин,1 - 3
4051,27,13961,Машинист ошпарочного агрегата,2 - 3
4052,28,14046,Машинист поточной линии формования хлебных изделий,4
4053,28.1,,Машинист пруфера,2 - 3
4054,29,14253,Машинист тесторазделочных машин,2 - 4
4055,30,15898,Оператор поточно-автоматической линии,5 - 6
4056,31,16111,Оператор установки бестарного хранения сырья,4 - 5
4057,32,16472,Пекарь,2 - 5
4058,33,16476,Пекарь-мастер,4 - 6
4059,34,16797,Полимеризаторщик металлических форм и листов,4
4060,35,17085,Прессовщик полуфабриката макаронных изделий,4
4061,36,18935,Сушильщик длиннотрубчатых макарон,4
4062,37,19137,Тестовод,2 - 5
4063,38,19294,Укладчик хлебобулочных изделий,2 - 3
4064,39,19441,Формовщик теста,3 - 4
4065,40,10629,Аппаратчик по обработке сырого пектина,5
4066,41,10677,Аппаратчик приготовления инвертного сиропа,4
4067,42,11678,Глазировщик,1 - 4
4068,43,11899,Дражировщик,2 - 4
4069,43.1,,Изготовитель бисквита,1 - 5
4070,43.2,,Изготовитель вафель,1 - 4
4071,43.3,,Изготовитель карамели,1 - 5
4072,43.4,,Изготовитель конфет,1 - 5
4073,43.5,,Изготовитель мармеладо-пастильных изделий,1 - 5
4074,44,12452,Изготовитель таблеток,3 - 4
4075,44.1,,Изготовитель шоколада,1 - 5
4076,45,12807,Коагулировщик пектина,3
4077,46,12901,Кондитер,1 - 6
4078,47,13241,Купажист пектинового экстракта,4
4079,48,14173,Машинист сбивальных машин,2 - 3
4080,49,14330,Машинист формующе-завертывающего полуавтомата,4
4081,50,14368,Машинист шоколадо-отделочных машин,3 - 5
4082,51,15206,Обкатчик клюквы,1 - 3
4083,52,15391,Обсыпщик кондитерских изделий,1 - 2
4084,53,15456,Окрасчик сиропа,2
4085,54,15671,Оператор линии по производству жевательной резинки,3 - 5
4086,55,15673,Оператор линии по производству муки и гранул,5
4087,56,15677,Оператор линии приготовления шоколадной массы,4 - 5
4088,57,16283,Отбельщик коагулята,4
4089,58,17160,Приготовитель белковых масс,2 - 5
4090,59,18072,Рецептурщик,2 - 4
4091,60,19502,Халвомес,"1, 4"
4092,61,19747,Экстрагировщик пектина,4
4093,62,10185,Аппаратчик гидролиза крахмального молока,4 - 5
4094,63,10332,Аппаратчик крахмального агрегата,3 - 4
4095,64,10404,Аппаратчик обезжиривания сиропов,2
4096,65,10451,Аппаратчик осаждения глютена,2
4097,66,10554,Аппаратчик получения декстрина,"2, 4 - 5"
4098,67,10568,Аппаратчик получения кукурузного масла,5
4099,68,10595,Аппаратчик получения сиропов,5
4100,69,10602,Аппаратчик получения сухих кормов,4
4101,70,10603,Аппаратчик получения сухого крахмала,5
4102,71,10607,Аппаратчик получения сырого крахмала,5
4103,72,10700,Аппаратчик приготовления окисленного крахмала,3
4104,72.1,,Аппаратчик рафинирования крахмала,2 - 4
4105,73,11013,Аппаратчик термической коагуляции белковых веществ,4
4106,74,11668,Гидроциклонщик,3 - 5
4107,75,12414,Изготовитель саговой крупки,3
4108,75.1,,Машинист терочных машин,3 - 4
4109,75.2,,Приготовитель крахмального молока,3 - 4
4110,76,19364,Флотаторщик,2
4111,77,10114,Аппаратчик варки утфеля,"2, 4 - 6"
4112,77.1,,Аппаратчик дефекосатурации диффузионного сока,3 - 6
4113,78,12803,Клеровщик сахара,2 - 3
4114,79,15612,Оператор ионитовой установки,4
4115,80,15922,Оператор пробоотборной установки,3
4116,80.1,,Оператор пульта управления в сахарном производстве,3 - 6
4117,81,17951,Резчик свеклы,"2, 4"
4118,82,10494,Аппаратчик пароводотермического агрегата,4
4119,83,11807,Дезодораторщик сои,3
4120,84,15596,Оператор зародышеотделительной машины,2
4121,85,15711,Оператор моечно-очистительного агрегата,4
4122,86,15766,Оператор обжарочного аппарата,5
4123,87,19342,Ферментаторщик,4
4124,88,11134,Ароматизаторщик,2
4125,89,11319,Вальцовщик,2
4126,90,12108,Загрузчик-выгрузчик ферментационных камер,4
4127,91,12424,Изготовитель сигар,2 - 3
4128,92,13243,Купажист по табакам,4 - 6
4129,93,13625,Машинист вибросит резальных машин,2
4130,94,13713,Машинист дробильных машин,3
4131,95,13821,Машинист линии непрерывной ферментации табака,4
4132,96,13823,Машинист линии подготовки табака к ферментации,2 - 4
4133,97,13834,Машинист махорочно-набивных машин,2 - 3
4134,98,13994,Машинист пневматической установки,2
4135,99,14044,Машинист поточно-автоматизированных линий переработки табака,4
4136,100,14048,Машинист поточно-механизированных папиросо-сигаретных линий и машин,2 - 4
4137,101,14131,Машинист-регулировщик,5 - 6
4138,102,14234,Машинист табакорезальных машин,4 - 5
4139,103,14321,Машинист фильтроделательных машин,2 - 3
4140,103.1,,Наладчик поточно-автоматизированных линий производства сигарет,5 - 7
4141,103.2,,Оператор поточно-автоматизированных линий производства сигарет,5 - 6
4142,104,17048,Прессовщик махорочной пыли,2
4143,105,17098,Прессовщик рядна из-под табака,2
4144,106,17194,Приготовитель нюхательной махорки и табака,2
4145,107,17457,Просевальщик фарматуры и отходов,2
4146,108,17701,Разрыхлитель табака,2
4147,109,17721,Раскладчик листового табака,2
4148,110,17794,Рассевщик,2
4149,111,17813,Расфасовщик нюхательной махорки и табака,2
4150,112,17814,Расфасовщик табака,1
4151,113,18683,Сортировщик сигарного листа,2
4152,114,18692,Сортировщик табака,2 - 4
4153,115,18693,Сортировщик табака в ферментационном производстве,"2 - 3, 5"
4154,116,18695,Сортировщик табачных изделий,2
4155,117,18713,Составитель вагонных партий табака,3
4156,118,18956,Сушильщик махорочной крошки,3
4157,119,19270,Увлажняльщик махорочного сырья,2
4158,120,19273,Увлажняльщик табачного сырья,3 - 4
4159,121,19574,Чистильщик оборудования,3
4160,122,10429,Аппаратчик обработки эфирных масел,3
4161,123,11057,Аппаратчик ферментации эфиромасличного сырья,3 - 4
4162,124,11425,Веяльщик чая,1
4163,125,12070,Заготовщик чайных ящиков,2 - 4
4164,126,13245,Купажист по чаю,3 - 5
4165,127,14319,Машинист фиксационных машин,5
4166,128,14351,Машинист чаезавялочно-фиксационных машин,5
4167,129,14352,Машинист чаезавялочных машин,2 - 4
4168,130,14354,Машинист чаескручивающих машин,4 - 5
4169,131,14356,Машинист чаесушильных машин,4 - 5
4170,132,16165,Оператор чаеперерабатывающей линии,4 - 5
4171,133,16911,Порционист лао-ча,2
4172,134,17028,Прессовщик кирпичного чая,2 - 4
4173,135,17083,Прессовщик плиточного чая,3
4174,136,17417,Пропарщик лао-ча,3
4175,137,18411,Скирдовальщик,1 - 2
4176,138,18676,Сортировщик-разборщик чая,4 - 5
4177,139,19343,Ферментировщик чая,4
4178,140,10685,Аппаратчик приготовления косметических средств,4 - 5
4179,141,10702,Аппаратчик приготовления парфюмерных композиций и жидкостей,3 - 5
4180,142,11331,Вальцовщик косметической массы,3
4181,143,11382,Варщик косметической массы,3 - 5
4182,144,19419,Формовщик пенальной косметики,3
4183,145,10178,Аппаратчик гидратации,"3, 5"
4184,146,10615,Аппаратчик получения фосфатидов,3 - 4
4185,147,11943,Жаровщик,4 - 5
4186,148,17834,Регенераторщик,4
4187,149,10204,Аппаратчик дезодорации,4
4188,150,11049,Аппаратчик установки производства отбельной земли,4
4189,151,11114,Аппаратчик этаноламиновой установки,3 - 4
4190,152,11474,Водородчик,5 - 6
4191,153,11644,Генераторщик,5 - 6
4192,154,11659,Гидрогенизаторщик,4 - 6
4193,155,12723,Катализаторщик,3 - 4
4194,156,15347,Обработчик соапстока,2 - 3
4195,157,17592,Разварщик-саломаса,3
4196,158,10316,Аппаратчик-комплекторщик,4
4197,159,10639,Аппаратчик по приготовлению майонеза,3 - 4
4198,160,10669,Аппаратчик приготовления высокожирных эмульсий,3 - 4
4199,161,10687,Аппаратчик приготовления кулинарных и кондитерских жиров,4
4200,162,10733,Аппаратчик приготовления эмульгатора,3 - 4
4201,163,15679,Оператор линии производства маргарина,5
4202,164,19098,Темперировщик жировой основы,3
4203,165,19490,Фризерщик,3
4204,166,10291,Аппаратчик ионообменной очистки глицерина,5 - 6
4205,167,10914,Аппаратчик расщепления жиров,3 - 6
4206,168,10105,Аппаратчик вакуум-сушильной установки,5
4207,169,10362,Аппаратчик мыловарения,4 - 6
4208,170,12046,Заготовщик основы для моющих средств,3
4209,171,13359,Ланолинщик,4
4210,172,15681,Оператор линии производства мыла,4
4211,173,17213,Приготовитель растворов красителей,3
4212,174,18730,Составитель смеси моющих средств,4
4213,175,12418,Изготовитель свечей,2 - 3
4214,176,13546,Машинист агрегатов по добыче соли в озере,"3, 5"
4215,176.1,,Аппаратчик солеобогатительной установки,3 - 4
4216,177,13610,Машинист вальцовых станков,2 - 4
4217,178,13882,Машинист механического катка,4
4218,179,14203,Машинист солекомбайна,4 - 6
4219,180,14205,Машинист солеобогатительной установки,"3, 5"
4220,181,14206,Машинист солеуборочного комбайна,3 - 6
4221,182,14732,Моторист рапокачки,4
4222,183,14833,Навальщик соли в бассейнах,4
4223,184,16709,Подготовитель бассейнов,2 - 4
4224,185,17517,Путевой рабочий на озере,3 - 5
4225,186,19230,Трубник на солекомбайне,2
4226,187,11563,Выпарщик соли,4
4227,187.1,,Оператор рассолодобычных скважин,2 - 6
4228,188,17832,Реакторщик химочистки рассола,4
4229,189,11519,Выборщик солодкового корня,4 - 5
4230,190,14265,Машинист трамбовки,3
4231,191,17286,Приемщик солодкового корня,5
4232,192,10314,Аппаратчик комбикормового производства,2 - 6
4233,193,10340,Аппаратчик крупяного производства,2 - 6
4234,194,10360,Аппаратчик мукомольного производства,2 - 6
4235,195,10422,Аппаратчик обработки зерна,2 - 6
4236,196,13739,Машинист зерновых погрузочно-разгрузочных машин,2 - 5
4237,196.1,,Машинист линий аэрозольтранспорта,4
4238,197,14431,Мельник,3 - 4
4239,198,15570,Оператор дезинсекционных установок,4 - 5
4240,198.1,,Оператор пакетоформирующих машин,"3, 5"
4241,198.2,,Оператор пульта управления элеватором,4
4242,199,11176,Бармен,4 - 5
4243,200,11301,Буфетчик,3 - 5
4244,201,12391,Изготовитель пищевых полуфабрикатов,1 - 5
4245,201.1,,Комплектовщик товаров,2
4246,201.2,,Контролер-кассир,2 - 4
4247,202,13249,Кухонный рабочий,2
4248,203,14522,Мойщик посуды,1 - 2
4249,204,16399,Официант,3 - 5
4250,205,16675,Повар,2 - 6
4251,205.1,,Повар детского питания,5
4252,206,17188,Приготовитель молочных коктейлей,3
4253,207,17192,Приготовитель напитков,3 - 4
4254,207.1,,Приемщик товаров,2
4255,207.2,,Продавец непродовольственных товаров,3 - 5
4256,207.3,,Продавец продовольственных товаров,2 - 4
4257,207.4,,Разрубщик мяса,3
4258,208,19793,Электромеханик по торговому и холодильному оборудованию,3 - 6
4259,208.1,,Аппаратчик асептического консервирования,4 - 5
4260,208.2,,Аппаратчик стерилизации консервов,"2, 4 - 6"
4261,208.3,,Аппаратчик томатосокового агрегата,4
4262,208.4,,Засольщик овощей,2 - 3
4263,208.5,,Изготовитель глазированных фруктов,2 - 3
4264,208.6,,Машинист закаточных машин,3 - 5
4265,208.7,,Машинист разливочно-наполнительных автоматов,3 - 5
4266,208.8,,Укладчик-заливщик продуктов консервирования,1 - 3
4267,208.9,,Фаршировщик овощей,2
4268,208.10,,Эксгаустировщик банок с консервами,2
4269,1,,Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений,5 - 8
4270,2,,Бригадир (освобожденный) предприятий железнодорожного транспорта и метрополитена,5 - 8
4271,3,,Водитель дрезины,2 - 7
4272,4,,Водитель транспортно-уборочной машины,3
4273,5,,Вызывальщик локомотивных и поездных бригад,2
4274,6,,Вязальщик польстерных щеток,2 - 3
4275,7,,Дежурный по переезду,2 - 4
4276,7.1,,"Дежурный по железнодорожной станции на разъезде, обгонном пункте, путевом посту и железнодорожной станции",2 - 4
4277,8,,Дежурный стрелочного поста,2 - 3
4278,9,,Доставщик перевозочных документов,2
4279,10,,Дренажник,2
4280,11,,Камеронщик,2
4281,12,,Кондуктор грузовых поездов,2 - 6
4282,13,,Контролер автоматических пропускных пунктов,2 - 3
4283,14,,Контролер состояния железнодорожного пути,5 - 8
4284,15,,Кочегар паровозов в депо,3
4285,16,,Машинист автомотрисы,3 - 7
4286,17,,Машинист насосной установки железнодорожного водоснабжения,2 - 7
4287,18,,Машинист железнодорожно-строительной машины,2 - 8
4288,19,,Машинист зумпфового агрегата,4 - 5
4289,20,,Машинист моечной установки,2 - 4
4290,21,,Машинист мотовоза,2 - 7
4291,22,,Машинист пескоподающей установки,2 - 4
4292,23,,Машинист поворотной и подъемной машин моста,4 - 5
4293,24,,Машинист самоходного весоповерочного вагона,4 - 8
4294,25,,Машинист уборочных машин,3 - 4
4295,26,,Машинист установок по обслуживанию подвижного состава,3 - 5
4296,27,,Машинист эскалатора,5 - 6
4297,28,,Мойщик-уборщик подвижного состава,1 - 3
4298,29,,Монтер пути,2 - 7
4299,29.1,,Монтер по обслуживанию и ремонту устройств инфраструктуры,
4300,30,,Моторист поворотного круга,2 - 3
4301,31,,Наладчик контрольно-измерительных вагонов,6 - 7
4302,32,,Наладчик железнодорожно-строительных машин и механизмов,4 - 8
4303,33,,Обходчик пути и искусственных сооружений,1 - 4
4304,34,,Оператор дефектоскопной тележки,2 - 7
4305,35,,Оператор по обслуживанию и ремонту вагонов и контейнеров,3 - 5
4306,36,,Оператор по путевым измерениям,4 - 5
4307,36.1,,Оператор при диспетчере маневровом железнодорожной станции,4 - 5
4308,36.2,,Оператор по учету работы локомотивов (моторвагонного подвижного состава),
4309,37,,Оператор поста централизации,2 - 5
4310,38,,Оператор сортировочной горки,4 - 7
4311,39,,Осмотрщик вагонов,3 - 6
4312,40,,Осмотрщик-ремонтник вагонов,4 - 8
4313,41,,Пломбировщик вагонов и контейнеров,2
4314,42,,Поездной электромеханик,5 - 7
4315,43,,Машинист газотурбовоза,
4316,44,,Машинист дизельпоезда,
4317,45,,Машинист паровоза,
4318,46,,Машинист рельсового автобуса,
4319,47,,Машинист тепловоза,
4320,48,,Машинист электровоза,
4321,49,,Машинист электропоезда,
4322,50,,Помощник машиниста газотурбовоза,
4323,51,,Помощник машиниста рельсового автобуса,
4324,52,,Помощник машиниста дизельного поезда,
4325,53,,Помощник машиниста паровоза,
4326,54,,Помощник машиниста тепловоза,
4327,55,,Помощник машиниста электровоза,
4328,56,,Помощник машиниста электропоезда,
4329,57,,Прессовщик колесных пар,4 - 5
4330,58,,Приемосдатчик груза и багажа в поездах,2 - 5
4331,59,,Приемщик поездов,3 - 6
4332,60,,Проводник пассажирского вагона,2 - 5
4333,61,,Проводник по сопровождению грузов и спецвагонов,2 - 3
4334,62,,Проводник по сопровождению локомотивов и пассажирских вагонов в нерабочем состоянии,2
4335,63,,Проводник-электромонтер почтовых вагонов,3
4336,64,,Промывальщик котлов паровозов,3
4337,65,,Промывальщик-пропарщик цистерн,3 - 5
4338,66,,Рабочий по обслуживанию локомотива (группы локомотивов) на железнодорожных путях без передвижения,3
4339,67,,Регулировщик скорости движения вагонов,2 - 5
4340,68,,Ремонтник искусственных сооружений,2 - 7
4341,69,,Сигналист,3
4342,70,,Слесарь зумпфового агрегата,3 - 4
4343,71,,Слесарь по осмотру и ремонту локомотивов на пунктах технического обслуживания,4 - 7
4344,72,,Слесарь-электрик по обслуживанию и ремонту металлоконструкций метрополитена,2 - 6
4345,73,,Слесарь-электрик по обслуживанию и ремонту оборудования метрополитена,2 - 6
4346,74,,Слесарь-электрик по обслуживанию и ремонту станционного и тоннельного оборудования метрополитена,3 - 6
4347,75,,Слесарь-электрик по обслуживанию и ремонту эскалаторов,1 - 6
4348,76,,Составитель поездов,2 - 7
4349,77,,Станционный рабочий,2 - 3
4350,78,,Съемщик лент скоростемеров локомотивов,2
4351,79,,Тоннельный рабочий,2 - 5
4352,80,,Экипировщик,2
4353,81,,Электромонтер контактной сети,2 - 7
4354,82,,Электромонтер по ремонту и обслуживанию аппаратуры и устройств связи,2 - 7
4355,83,,Электромонтер тяговой подстанции,2 - 8
4356,84,,"Электромонтер по обслуживанию и ремонту устройств сигнализации, централизации и блокировки",4 - 8
4357,85,,Бортпроводник,2
4358,86,,Боцман,5 - 6
4359,87,,Боцман береговой,3
4360,88,,Бункеровщик,2 - 4
4361,89,,Бригадир изыскательской русловой партии,3
4362,89.1,,Бригадир поста судоходной обстановки,
4363,90,,Водораздатчик порта,3
4364,91,,Дневальный,2
4365,92,,Информатор судоходной обстановки,3 - 4
4366,93,,Лебедчик-моторист,5 - 6
4367,94,,Матрос,3 - 5
4368,95,,Матрос береговой,2
4369,96,,Матрос-водолаз,5 - 6
4370,97,,Матрос-пожарный,4 - 5
4371,98,,Машинист котельной установки (кочегар) судна,4
4372,99,,Машинист помповой (донкерман),4 - 6
4373,100,,Монтер судоходной обстановки,3 - 4
4374,101,,Моторист-матрос,5 - 6
4375,102,,Моторист (машинист),4 - 6
4376,103,,Моторист (машинист) рефрижераторных установок,4 - 5
4377,104,,Моторист-рулевой,5 - 6
4378,105,,Оператор специальных устройств земснарядов,4 - 5
4379,106,,Повар судовой,4
4380,107,,Подшкипер,3
4381,108,,Полевой (путевой) рабочий изыскательской русловой партии,3
4382,109,,Помощник механика,7 - 8
4383,110,,Постовой (разъездной) рабочий судоходной обстановки,3 - 4
4384,111,,Проводник на водном транспорте,2
4385,112,,Путевой рабочий тральной бригады,3 - 4
4386,113,,Рабочий береговой,2
4387,114,,Радиооператор,3 - 5
4388,115,,Радиотелеграфист,5
4389,116,,Радиотехник,5 - 6
4390,117,,Рулевой,5
4391,118,,Смотритель маяка,4
4392,119,,Смотритель огней,3
4393,120,,Судопропускник,4 - 6
4394,121,,Тальман,3
4395,122,,Электрик судовой,5
4396,123,,Электрорадионавигатор,5 - 8
4397,1,10005,Авиационный механик по планеру и двигателям,2 - 3
4398,2,10007,Авиационный механик по приборам и электрооборудованию,2 - 3
4399,3,10008,Авиационный механик по радиооборудованию,2 - 3
4400,4,10010,Авиационный техник по парашютным и аварийно-спасательным средствам,4 - 6
4401,5,10012,Авиационный техник по горюче-смазочным материалам,4 - 6
4402,5.1,,Авиационный техник по планеру и двигателям,4 - 8
4403,5.2,,Авиационный техник по приборам и электрооборудованию,4 - 8
4404,5.3,,Авиационный техник по приборам - метролог,5 - 7
4405,5.4,,Авиационный техник по радиооборудованию,4 - 8
4406,6,11149,Аэродромный рабочий,2 - 4
4407,6.1,,Бортовой оператор,4 - 5
4408,7,11217,Бортовой проводник,4 - 6
4409,7.1,,Бортовой радист,4 - 6
4410,8,14238,Машинист телескопических трапов,3 - 4
4411,9,14514,Мойщик воздушных судов,1 - 2
4412,10,19780,Электромеханик по обслуживанию светотехнического оборудования систем обеспечения полетов,4 - 6
4413,10.1,,Водитель самоходных механизмов,
4414,10.2,,Инструктор авиапожарной команды,
4415,10.3,,Инструктор парашютно-пожарной группы,
4416,10.4,,Швея по пошиву и ремонту самолетного инвентаря,
4417,1,10060,Антенщик-мачтовщик,3 - 6
4418,2,12624,Кабельщик-спайщик,3 - 8
4419,3,16019,Оператор связи,2 - 4
4420,4,16925,Почтальон,1 - 3
4421,5,18674,Сортировщик почтовых отправлений и произведений печати,1 - 2
4422,6,19091,Телеграфист,2 - 4
4423,7,19093,Телефонист,2 - 4
4424,8,19469,Фотооператор,2 - 4
4425,9,19745,Экспедитор печати,2
4426,10,19794,Электромеханик почтового оборудования,3 - 6
4427,11,19823,Электромонтер канализационных сооружений связи,2 - 5
4428,12,19827,Электромонтер линейных сооружений телефонной связи и радиофикации,2 - 7
4429,13,19832,Электромонтер охранно-пожарной сигнализации,3 - 6
4430,14,19850,Электромонтер по обслуживанию электроустановок,3 - 6
4431,15,19872,Электромонтер приемопередающей станции спутниковой связи,3 - 6
4432,16,19878,Электромонтер станционного оборудования радиорелейных линий связи,3 - 6
4433,17,19880,Электромонтер станционного оборудования радиофикации,3 - 6
4434,18,19881,Электромонтер станционного оборудования телеграфной связи,3 - 6
4435,19,19883,Электромонтер станционного оборудования телефонной связи,3 - 6
4436,20,19885,Электромонтер станционного радиооборудования,3 - 6
4437,21,19887,Электромонтер станционного телевизионного оборудования,3 - 6
4438,1,10045,Акклиматизатор,1 - 2
4439,2,11513,Выборщик,1 - 3
4440,3,12831,Колорист,3 - 6
4441,4,13024,Контролер полуфабрикатов и готовой продукции,2 - 5
4442,5,13550,Машинист адресовальной машины,2
4443,6,13635,Машинист выборочной машины,3 - 4
4444,7,14210,Машинист сортировочного автомата,4 - 5
4445,8,14290,Машинист упаковочной машины,2 - 4
4446,9,14974,Наладчик полиграфического оборудования,3 - 8
4447,10,15645,Оператор красочной станции,3 - 4
4448,11,16379,Отливщик валиков,2 - 4
4449,12,16950,Препаратор,1 - 4
4450,13,16971,Прессовщик,2 - 3
4451,14,17263,Приемщик на машинах и агрегатах,2
4452,15,17265,Приемщик-отправитель,2
4453,16,18307,Сборщик штемпелей,1 - 2
4454,17,19005,Счетчик,1 - 4
4455,18,19937,Электрофотограф,3 - 5
4456,19,11500,Вулканизаторщик печатных форм,2 - 5
4457,20,11631,Гальванотипист,3 - 7
4458,21,11672,Гильошир,4 - 8
4459,22,11741,Гравер печатных форм,3 - 8
4460,23,12889,Комплектовщик форм,2 - 3
4461,24,13115,Копировщик печатных форм,3 - 7
4462,25,13134,Корректор,2 - 6
4463,26,14541,Монтажист,3 - 5
4464,27,14792,Наборщик вручную,2 - 6
4465,28,14803,Наборщик на машинах,3 - 6
4466,29,14807,Наборщик на наборно-строкоотливных машинах,4 - 6
4467,30,15129,Нотогравер,5 - 6
4468,31,15131,Нотографик,3 - 6
4469,31.1,,Оператор выводных устройств,6
4470,31.2,,Оператор по изготовлению гильошей,4 - 8
4471,31.3,,Оператор по изготовлению форм офсетной печати,5 - 6
4472,32,16153,Оператор фотонаборных автоматов и систем,5 - 7
