,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
288,66,10038,Автоматчик холодновысадочных автоматов,2 - 5
289,67,11317,Вальцовщик,2 - 5
290,68,11324,Вальцовщик игольчатых роликов и шариков,4
291,69,11482,Волочильщик,2 - 5
292,70,11654,Гибщик труб,1 - 5
293,71,11967,Завальцовщик,1 - 4
294,72,12426,Изготовитель сильфонных компенсаторов и шлангов,2 - 5
295,73,12801,Клепальщик,1 - 6
296,74,12978,"Контролер котельных, холодноштамповочных и давильных работ",2 - 5
297,75,13144,Котельщик,2 - 6
298,76,15002,Наладчик холодноштамповочного оборудования,3 - 6
299,77,15477,Оператор автоматических и полуавтоматических линий холодноштамповочного оборудования,2 - 5
300,78,16932,Правильщик вручную,1 - 5
301,79,17489,Профилировщик,1 - 4
302,80,17914,Резчик металла на ножницах и прессах,1 - 4
303,81,17928,"Резчик на пилах, ножовках и станках",2 - 3
304,82,18085,Рихтовщик кузовов,3 - 5
305,83,11783,Токарь на токарно-давильных станках,2 - 5
306,84,19547,Чеканщик,1 - 5
307,85,19700,Штамповщик,2 - 5
308,86,19709,Штамповщик методом взрыва,3 - 6
309,87,19710,Штамповщик на падающих молотах,2 - 5
310,88,19718,Штамповщик электроимпульсным методом,3 - 5
311,89,11170,Бандажник,3 - 4
312,90,11999,Заготовитель смеси для цементации,2
313,91,12522,Изолировщик в термообработке,2 - 3
314,92,12673,Калильщик,2 - 4
315,93,12981,Контролер кузнечнопрессовых работ,2 - 5
316,94,13026,Контролер по термообработке,2 - 5
317,95,13225,Кузнец на молотах и прессах,2 - 6
318,96,13227,Кузнец ручной ковки,2 - 5
319,97,13229,Кузнец-штамповщик,2 - 6
320,98,13231,Кузнец-штамповщик на ротационных машинах,3 - 5
321,99,13901,"Машинист на молотах, прессах и манипуляторах",2 - 5
322,100,14854,Нагревальщик (сварщик) металла,1 - 5
323,101,14921,Наладчик кузнечнопрессового оборудования,4 - 6
324,102,14956,Наладчик оборудования и агрегатов в термообработке,4 - 6
325,103,15062,Напайщик,2 - 5
326,104,15655,Оператор-кузнец на автоматических и полуавтоматических линиях,3 - 5
327,105,16069,Оператор-термист на автоматических линиях,4 - 5
328,106,16934,Правильщик на машинах,1 - 5
329,107,17002,Прессовщик заготовок для шпальтовых сит,4
330,108,17056,Прессовщик на горячей штамповке,3 - 5
331,109,17379,Прокатчик шаров,2 - 3
332,110,17499,Пружинщик,2 - 4
333,111,17712,Раскатчик,3 - 6
334,112,18031,Рессорщик на обработке горячего металла,2 - 5
335,113,18407,Синильщик,2
336,114,19100,Термист,2 - 6
337,115,19104,Термист на установках ТВЧ,2 - 6
338,116,19111,Термист холодом,4
339,117,19302,Упаковщик-цементировщик,2
340,118,19703,Штамповщик жидкого металла,2 - 5
341,119,11853,Доводчик-притирщик,2 - 6
342,120,11883,Долбежник,2 - 4
343,121,12242,Заточник,2 - 5
344,122,12273,Зуборезчик,2 - 6
345,123,12277,Зубошлифовщик,2 - 6
346,124,13063,Контролер станочных и слесарных работ,2 - 8
347,125,14879,Накатчик полировальных кругов,2 - 3
348,126,14899,Наладчик автоматических линий и агрегатных станков,4 - 8
349,127,14901,Наладчик автоматов и полуавтоматов,4 - 6
350,128,14914,Наладчик зуборезных и резьбофрезерных станков,4 - 6
351,129,14987,Наладчик сортировочных автоматов,4 - 5
352,130,14989,Наладчик станков и манипуляторов с программным управлением,4 - 8
353,131,15004,Наладчик шлифовальных станков,4 - 6
354,132,15090,"Насекальщик напильников, рашпилей и пил",1 - 4
355,133,15208,Обкатчик подшипников,2 - 3
356,134,15474,Оператор автоматических и полуавтоматических линий станков и установок,2 - 4
357,135,10021,Оператор металлорежущих станков-автоматов,2 - 4
358,136,16045,Оператор станков с программным управлением,2 - 5
359,137,16107,Оператор ультразвуковых установок,2 - 6
360,138,16799,Полировщик,2 - 5
361,139,17485,Протяжчик,2 - 4
362,140,17983,Резьбонарезчик на специальных станках,2 - 4
363,141,17985,Резьбофрезеровщик,2 - 4
364,142,17986,Резьбошлифовщик,2 - 6
365,143,18355,Сверловщик,2 - 5
366,144,18641,Сортировщик деталей подшипников,2 - 4
367,145,18809,Станочник широкого профиля,2 - 6
368,146,18891,Строгальщик,2 - 6
369,147,19149,Токарь,2 - 8
370,148,19151,Токарь-затыловщик,2 - 5
371,149,19153,Токарь-карусельщик,2 - 6
372,150,19158,Токарь-полуавтоматчик,2 - 5
373,151,19163,Токарь-расточник,2 - 6
374,152,19165,Токарь-револьверщик,2 - 4
375,153,19479,Фрезеровщик,2 - 6
376,154,19606,Шевинговальщик,2 - 5
377,155,19630,Шлифовщик,2 - 6
378,156,19765,Электрозаточник,2 - 4
379,157,19939,Электрохимобработчик,2 - 6
380,158,19940,Электроэрозионист,2 - 8
381,159,10051,Алюминировщик,4 - 5
382,160,10062,Антикоррозийщик,3 - 4
383,161,11110,Аппаратчик электролитического обезжиривания,3 - 5
384,162,11159,Бакелитчик (пропитчик),2 - 3
385,163,11490,Воронильщик,1 - 2
386,164,11629,Гальваник,2 - 6
387,165,12985,Контролер малярных работ,2 - 5
388,166,13045,Контролер работ по металлопокрытиям,2 - 4
389,167,13131,Корректировщик ванн,2 - 5
390,168,13334,Лакировщик жести и труб,2 - 4
391,169,13417,Лудильщик горячим способом,1 - 5
392,170,13422,Лудильщик (оцинковщик) электролитическим методом,3 - 6
393,171,13424,Лудильщик проволоки,2 - 3
394,172,13450,Маляр,1 - 6
395,173,14440,Металлизатор,2 - 6
396,174,14525,Мойщик-сушильщик металла,2 - 4
397,175,14964,Наладчик оборудования металлопокрытий и окраски,4 - 6
398,176,15064,Наплавщик пластмассы,2 - 4
399,177,15555,Оператор-гальваник на автоматических и полуавтоматических линиях,3 - 4
400,178,15772,Оператор окрасочно-сушильной линии и агрегата,3 - 5
401,179,15882,"Оператор поста управления агрегатами непрерывного травления, обезжиривания, лужения, оцинкования, лакирования и отжига",2 - 6
402,180,16139,Оператор установок по нанесению покрытий в вакууме,3 - 6
403,181,16265,Освинцевальщик,2 - 5
404,182,16415,Оцинковщик горячим способом,1 - 5
405,183,16417,Оцинковщик-хромировщик диффузионным способом,2 - 4
406,184,17236,Приготовитель электролита и флюса,2 - 4
407,185,18377,Сгонщик-смывщик краски и лаков,1 - 3
408,186,18182,Травильщик,2 - 5
409,187,19457,Фосфатировщик,1 - 3
410,188,19552,Чернильщик,1
411,189,19894,Электрополировщик,1 - 4
412,190,12219,Заправщик эмалевых шликеров,2 - 3
413,191,13097,Контролер эмалевого покрытия,3 - 4
414,192,14438,Мельник эмалевых материалов,2 - 4
415,193,15201,Обжигальщик эмали,2 - 6
416,194,15371,Обработчик эмалированных изделий,2 - 3
417,195,15634,Оператор конвейерных печей,3
418,196,16352,Отжигальщик изделий,2 - 4
419,197,16653,Плавильщик эмали,2 - 5
420,198,17240,Приготовитель эмалевых порошков,2 - 4
421,199,18079,Рисовальщик эмалями,2 - 5
422,200,19315,Установщик изделий в эмалировании,1
423,201,19491,Фриттовщик,"2, 4"
424,202,19942,Эмалировщик,1 - 5
425,203,11161,Балансировщик деталей и узлов,2 - 6
426,204,11449,Водитель-испытатель,2 - 6
427,205,11735,Гравер,2 - 6
428,206,11747,Градуировщик,2 - 5
429,207,11945,Жестянщик,2 - 5
430,208,12580,Испытатель двигателей,4 - 6
431,209,12597,Испытатель на герметичность,2 - 5
432,210,12853,Комплектовщик изделий и инструмента,2 - 4
433,211,12959,Контролер измерительных приборов и специального инструмента,2 - 6
434,212,12991,"Контролер материалов, металлов, полуфабрикатов и изделий",2 - 5
435,213,13095,Контролер электромонтажных работ,2 - 6
436,214,14420,Медник,2 - 6
437,215,14919,Наладчик контрольно-измерительных приборов и автоматики,4 - 8
438,216,14986,Наладчик сельскохозяйственных машин и тракторов,4 - 6
439,217,16456,Паяльщик,1 - 8
440,218,16460,Паяльщик по винипласту,1 - 5
441,219,17636,Разметчик,2 - 6
442,220,18365,Сверловщик-пневматик,1 - 4
443,221,18452,Слесарь-инструментальщик,2 - 8
444,222,18466,Слесарь механосборочных работ,2 - 7
445,223,18494,Слесарь по контрольно-измерительным приборам и автоматике,2 - 8
446,224,18511,Слесарь по ремонту автомобилей,1 - 7
447,225,18522,Слесарь по ремонту дорожно-строительных машин и тракторов,1 - 6
448,226,18524,Слесарь по ремонту и обслуживанию перегрузочных машин,1 - 6
449,227,18526,Слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования,3 - 5
450,228,18540,Слесарь по ремонту подвижного состава,1 - 8
451,228.1,,Слесарь по ремонту специального железнодорожного подвижного состава и механизмов,
452,229,18542,Слесарь по ремонту путевых машин и механизмов,2 - 6
453,230,18545,Слесарь по ремонту сельскохозяйственных машин и оборудования,1 - 6
454,231,18549,Слесарь по сборке металлоконструкций,2 - 6
455,232,18551,Слесарь по такелажу и грузозахватным приспособлениям,2 - 6
456,233,18552,Слесарь по топливной аппаратуре,2 - 5
457,234,18559,Слесарь-ремонтник,2 - 8
458,235,18560,Слесарь-сантехник,2 - 6
459,236,18590,Слесарь-электрик по ремонту электрооборудования,2 - 8
460,237,18596,Слесарь-электромонтажник,2 - 6
461,238,19789,Электромеханик по ремонту и обслуживанию счетно-вычислительных машин,3 - 6
462,239,19792,Электромеханик по средствам автоматики и приборам технологического оборудования,3 - 8
463,1,11121,Арматурщик,2 - 7
464,2,11140,Асфальтобетонщик,1 - 5
465,3,11141,Асфальтобетонщик-варильщик,2 - 5
466,4,11196,Бетонщик,2 - 5
467,5,11889,Дорожный рабочий,2 - 6
468,6,12266,Землекоп,1 - 5
469,7,12282,Известегасильщик,2 - 4
470,8,12529,Изолировщик на гидроизоляции,2 - 6
471,9,12531,Изолировщик на термоизоляции,2 - 6
472,10,12533,Изолировщик-пленочник,3 - 5
473,11,12680,Каменщик,2 - 6
474,12,12689,Камнетес,2 - 6
475,13,12736,Кессонщик-аппаратчик,4 - 6
476,14,12738,Кессонщик-проходчик,5 - 6
477,15,12740,Кессонщик-слесарь,4 - 6
478,16,12741,Кессонщик-электромонтажник,6
479,17,12751,Кислотоупорщик-винипластчик,3 - 6
480,18,12753,Кислотоупорщик-гуммировщик,2 - 6
481,18.1,,"Комплектовщик строительных материалов, изделий и оборудования",2 - 4
482,19,13121,Копровщик,2 - 6
483,20,13201,Кровельщик по рулонным кровлям и по кровлям из штучных материалов,2 - 6
